item_id,item_id_hash,random_score,source_distribution,rng_seed,mapping_hash,source_protocol
50,dbe_50,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
51,dbe_51,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
52,dbe_52,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
53,dbe_53,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
54,dbe_54,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
55,dbe_55,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
56,dbe_56,0.5,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
57,dbe_57,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
58,dbe_58,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
59,dbe_59,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
60,dbe_60,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
61,dbe_61,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
62,dbe_62,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
63,dbe_63,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
64,dbe_64,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
65,dbe_65,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
66,dbe_66,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
67,dbe_67,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
68,dbe_68,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
69,dbe_69,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
70,dbe_70,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
71,dbe_71,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
72,dbe_72,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
73,dbe_73,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
74,dbe_74,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
75,dbe_75,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
76,dbe_76,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
77,dbe_77,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
78,dbe_78,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
79,dbe_79,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
80,dbe_80,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
81,dbe_81,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
82,dbe_82,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
83,dbe_83,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
84,dbe_84,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
85,dbe_85,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
86,dbe_86,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
87,dbe_87,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
93,dbe_93,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
94,dbe_94,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
95,dbe_95,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
96,dbe_96,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
97,dbe_97,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
98,dbe_98,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
99,dbe_99,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
100,dbe_100,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
101,dbe_101,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
102,dbe_102,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
103,dbe_103,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
104,dbe_104,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
105,dbe_105,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
106,dbe_106,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
107,dbe_107,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
108,dbe_108,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
109,dbe_109,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
110,dbe_110,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
111,dbe_111,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
112,dbe_112,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
113,dbe_113,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
114,dbe_114,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
115,dbe_115,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
116,dbe_116,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
117,dbe_117,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
118,dbe_118,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
119,dbe_119,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
120,dbe_120,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
121,dbe_121,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
122,dbe_122,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
123,dbe_123,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
124,dbe_124,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
125,dbe_125,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
126,dbe_126,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
127,dbe_127,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
128,dbe_128,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
129,dbe_129,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
130,dbe_130,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
131,dbe_131,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
132,dbe_132,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
133,dbe_133,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
