slug,html_present,html_sha256,download_url,question_text_len,title_text_len,stem_text_len,stem_source,cleaned_text_len,has_latex,has_dynamic_vars,has_image_dep,has_graphie,graphie_only_no_question_text,has_multiple_choice,intelligible,duplicate_html_slugs,response_count,area,is_math_domain,eligible_for_llm
adding_and_subtracting_fractions,True,96aefc0fdc66da0e316d15dc24e6bc3a30ac580a2e735c283e46848b2d73ffb7,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_fractions.html,45,5.0,45.0,question_div,1439,True,True,False,False,False,False,True,0,25848,arithmetic,True,True
adding_and_subtracting_negative_numbers,True,ce327719fd89b2ad60a64337fb93f6d9288c3dc533e4d7fef194ac512fa6c148,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_negative_numbers.html,143,8.0,143.0,question_div,1676,True,True,True,True,False,False,True,0,181133,algebra,True,True
adding_and_subtracting_polynomials,True,af6f46bbaa55b3285029603215342e6d88f6e13fbf318da2b9a28b29c98de12c,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_polynomials.html,78,6.0,78.0,question_div,1135,True,True,False,False,False,True,True,0,45611,algebra,True,True
adding_and_subtracting_radicals,True,cce12ab23db1ae8fd1dfce5cc9d85c1eb47f72337d31515bf15c1502977abd69,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_radicals.html,67,8.0,67.0,question_div,2293,True,True,False,False,False,False,True,0,19553,algebra,True,True
adding_and_subtracting_within_20,True,ab93c71b2c6716ae36dd1f47c217555d1799590e2ee8b9bf0b9b107d497edd4d,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_within_20.html,89,10.0,89.0,question_div,3237,True,True,True,True,False,False,True,0,86330,arithmetic,True,True
adding_decimals,True,5571f358292a80c09c84e56a7a7bbe8a0ccb6236f6ed194d3c981eccc1c494dd,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_decimals.html,310,5.0,310.0,question_div,989,True,True,True,True,False,False,True,0,79010,arithmetic,True,True
adding_decimals_0.5,True,b04af1088babc6abe21cee067d2c40d4b9eb9572aabf1f5089171e47183cc6a5,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_decimals_0.5.html,310,9.0,310.0,question_div,971,True,True,True,True,False,False,True,0,97767,arithmetic,True,True
adding_decimals_2,True,0346cf4ba65b12ba809f840d9e8913d1ce966db48f57b5c57c0706e028b535d0,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_decimals_2.html,205,7.0,205.0,question_div,977,True,True,True,True,False,False,True,0,44857,arithmetic,True,True
adding_fractions,True,34565f2ff63ca1f91d84ee270fe92346873a97b6633e2e161eacda2291d1c797,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_fractions.html,63,4.0,63.0,question_div,942,True,True,False,False,False,False,True,0,35860,arithmetic,True,True
adding_fractions_with_common_denominators,True,80cf80543b6d24db18f1c8053f2c24faa796065a454bebaf9022eac46d62dfc7,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_fractions_with_common_denominators.html,43,9.0,43.0,question_div,730,False,True,True,True,False,False,True,0,64236,arithmetic,True,True
adding_negative_numbers,True,34766e6fa8469e7472b2b3fd5e59ff165053b33e9483a98bbf8a26113affcd68,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_negative_numbers.html,269,5.0,269.0,question_div,967,True,True,True,True,False,False,True,0,129099,algebra,True,True
adding_subtracting_carry_2,True,7de3453e16d2dd8a5aebfd4edd1a5125a766f602268907f5e4b9cdc1659b3dc5,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_subtracting_carry_2.html,116,22.0,116.0,question_div,8910,True,True,True,True,False,False,True,0,10739,arithmetic,True,True
adding_subtracting_carry_3,True,398b5e4ca54fb365235ce7a7251a54606703bdcec78e1197b613618d36f33f70,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_subtracting_carry_3.html,9,24.0,9.0,question_div,1681,False,True,True,True,False,False,False,0,92464,arithmetic,True,False
adding_subtracting_mixed_numbers_0.5,True,0e680721c21294105fa2f2e6eaea7dd0d57272aa7f8d032b8c77590d1ac8e63f,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_subtracting_mixed_numbers_0.5.html,100,11.0,100.0,question_div,2026,True,True,False,False,False,False,True,0,7117,arithmetic,True,True
adding_subtracting_mixed_numbers_1,True,57c3257fb6843e15ce3459976b63df76d2379bff95ce4c20f0d1d4b831c24c19,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_subtracting_mixed_numbers_1.html,100,9.0,100.0,question_div,3089,True,True,False,False,False,False,True,0,7126,arithmetic,True,True
adding_subtracting_no_carry_3,True,9fe3e0c53062e4829fd8ee274543e0e3b623abfc4d990a2ca7d9eb7b69f03b04,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_subtracting_no_carry_3.html,17,23.0,17.0,question_div,2197,False,True,True,True,False,False,True,0,26057,arithmetic,True,True
adding_vectors,True,09f057810d7249831fc5f3c8283be034feb43163eed2fbcc3c066371252f7ed6,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_vectors.html,504,5.0,504.0,question_div,973,True,True,True,True,False,False,True,0,9483,algebra,True,True
addition_1,True,f1366193a167311e8fc35e81795aafd2bd5d0e9ecafef5bc54d9008907d60cd6,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_1.html,139,4.0,139.0,question_div,302,True,True,True,True,False,False,True,0,895736,arithmetic,True,True
addition_2,True,350faaa51cc21d40b6eb0a97ddf63a62fcb45bb093334e42073e7bd0989fdf63,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_2.html,0,11.0,11.0,title_fallback,243,False,True,True,True,True,False,True,0,268922,arithmetic,True,True
addition_3,True,0e4c19a001763e5709c66ff253aab23172783a4d62bd446d978d57754ec317cd,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_3.html,0,10.0,10.0,title_fallback,242,False,True,True,True,True,False,True,0,45141,arithmetic,True,True
addition_4,True,552bc05dbcabebccd1de00f51b0463388688c5cff49d0b15eec38c9cd4cdfaf9,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_4.html,0,15.0,15.0,title_fallback,680,False,True,True,True,True,False,True,0,226206,arithmetic,True,True
addition_of_vary_denominator_fraction,True,fe0353f1b582243ebd9fa8962d4bcd1458b279888c3195d789ffb7dbc76ff02c,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_of_vary_denominator_fraction.html,90,10.0,90.0,question_div,2472,True,True,True,True,False,False,True,0,10246,arithmetic,True,True
addition_two_numbers,True,642d918a4631077fdcc8b05b12ea09cb5b6ef7c71a255af5bd42165309e89642,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_two_numbers.html,152,23.0,152.0,question_div,4663,True,True,False,False,False,False,True,0,35514,arithmetic,True,True
addition_within_20,True,bf2fe35c6845e3a89d6ab074799e97c4bf47ca3558220a9bebc8eb29ed490dd4,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/addition_within_20.html,288,8.0,288.0,question_div,427,True,True,True,True,False,False,True,0,14457,arithmetic,True,True
advanced_fraction,True,d4d25147b17a2eecb3ae3cea89f4ce6aa6d219117844274c32b88562a9f403f5,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/advanced_fraction.html,644,12.0,644.0,question_div,3883,True,True,True,True,False,False,True,0,3065,arithmetic,True,True
age_problems,True,07b988335770ca443e6fdbea833f3175ecce4565ea0eeb0ff906cd2029c85d2b,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/age_problems.html,57,4.0,57.0,question_div,10148,True,True,True,True,False,False,True,0,5100,algebra,True,True
age_problems_new,True,1df7555935ef35a67859372795febef24c296ff23c8bd772050661573f9bf14a,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/age_problems_new.html,52,4.0,52.0,question_div,1785,True,True,False,False,False,False,True,0,3940,algebra,True,True
age_word_problems,True,53dab387fab72166e9c0499b9425691321c0b9ad61a040981d1f20a9f9232385,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/age_word_problems.html,221,4.0,221.0,question_div,4998,True,True,False,False,False,False,True,0,13795,algebra,True,True
alternate_exterior_angles,True,64076945a14d3c5dfca61cbe501e9fd09bfa2759a1d3b8f86c505b4f96215223,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/alternate_exterior_angles.html,283,3.0,283.0,question_div,750,False,True,True,True,False,False,True,0,41980,geometry,True,True
alternate_exterior_angles_2,True,6c334ceaa6cab00142d673f9cb59bc96c6b1ed05194cae716d7b48438a4468bb,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/alternate_exterior_angles_2.html,294,5.0,294.0,question_div,1573,True,True,True,True,False,False,True,0,5298,geometry,True,True
alternate_interior_angles,True,928f4266360024a7bc252706667aa8abe07e498176627f3e34ebdeb046dc9545,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/alternate_interior_angles.html,283,3.0,283.0,question_div,750,False,True,True,True,False,False,True,0,48382,geometry,True,True
alternate_interior_angles_2,True,9a57c31d5e26f0abce483ece809c477f551bedbed5e9e7b3523b3b268bf3bdcb,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/alternate_interior_angles_2.html,316,5.0,316.0,question_div,1595,True,True,True,True,False,False,True,0,8176,geometry,True,True
altitude_and_hypotenuse,True,2b4e5607cd879d1382b90ffdff77421444cdf1a390aca884d5a1ad607504e46e,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/altitude_and_hypotenuse.html,387,10.0,387.0,question_div,1758,True,True,True,True,False,False,True,0,3054,geometry,True,True
angle_addition_postulate,True,39c6be885890fbf88678d0b899e617be402319ca7cbb4dc26b78abc6854cd4aa,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angle_addition_postulate.html,1003,6.0,1003.0,question_div,3662,True,True,True,True,False,False,True,0,4525,analytic-geometry,True,True
angle_bisector_theorem,True,1d65e0a99de63c362c5b711999f0ce92f4ab498bf6e42d348138f38a82624aba,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angle_bisector_theorem.html,104,6.0,104.0,question_div,2232,True,True,True,True,False,False,True,0,4071,geometry,True,True
angle_of_osculation,True,3a1a108935ced85875ea151cc2e032844e76575f8a8276679a59cdae2db48f88,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angle_of_osculation.html,997,3.0,997.0,question_div,3650,True,True,True,True,False,False,True,0,2838,geometry,True,True
angle_rotation,True,36f17cba7d5df53223041c49956e17e0331fad2d2b07c4eaa1fff82a3dc525d2,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angle_rotation.html,31,11.0,31.0,question_div,1446,True,True,True,True,False,False,True,0,16212,geometry,True,True
angle_types,True,7a96e5f2a3618180a4b978d8fc18b9966e2cbc52ec86f1e9de21f20b632f7716,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angle_types.html,610,4.0,610.0,question_div,1611,True,True,True,True,False,True,True,0,97756,analytic-geometry,True,True
angles_1,True,ad6f89013400699cf96f2b329dd4bfdf001a49122d8fe452b593edf120be65f4,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angles_1.html,299,4.0,299.0,question_div,13627,True,True,True,True,False,False,True,0,21947,geometry,True,True
angles_2,True,fb315609772d306cf987af6c606ca56fbd637ed6439ccec3ea094dc1e70e3093,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angles_2.html,190,4.0,190.0,question_div,10962,True,True,True,True,False,False,True,0,14132,geometry,True,True
angles_of_a_polygon,True,becf1bb69dfc22fc1974681a2f373ce5b3b081c79fff78e92307a665bb5296fc,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/angles_of_a_polygon.html,169,5.0,169.0,question_div,1230,True,True,True,True,False,False,True,0,26080,geometry,True,True
application_add_large_nums,True,34bdf8d3fcc85bd63d3fea6cc452e472dc80be5143cf26f38ffd0cb9b7b7a7b2,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/application_add_large_nums.html,100,5.0,100.0,question_div,2880,True,True,True,True,False,False,True,0,53764,arithmetic,True,True
application_division_large_nums,True,8a987a27de1d21aed4ff9263fac1dbc0fdedf16925ed565288f33588d87b6d93,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/application_division_large_nums.html,60,9.0,60.0,question_div,987,False,True,True,True,False,False,True,0,27290,arithmetic,True,True
application_of_linear_equations_1,True,51f780da39a18d921871178b9c72222d5a0bb8d034ada584ebb5bbd7447e911e,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/application_of_linear_equations_1.html,75,13.0,75.0,question_div,1881,True,True,False,False,False,False,True,0,7840,algebra,True,True
application_of_linear_equations_2,True,78852d612dd20e42b3e1368b7e4f7584e10443b40301690ca23f09f9f369f0c5,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/application_of_linear_equations_2.html,146,13.0,146.0,question_div,3486,True,True,False,False,False,False,True,0,41,algebra,True,True
application_of_scientific_notation,True,31e3052467d2ed62e1a7da56b7009737414683835caacec61585d73c41a58dbc,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/application_of_scientific_notation.html,101,12.0,101.0,question_div,2176,True,True,False,False,False,False,True,0,14069,algebra,True,True
application_of_scientific_notation_2,True,679b390846b9a9f9509db74e4e93922eb75bd5bc4342e419a2175360a418ea69,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/application_of_scientific_notation_2.html,135,7.0,135.0,question_div,1768,True,True,False,False,False,False,True,0,7104,algebra,True,True
applications_of_index,True,eb09ff51166d3cc09f9f3af987fbdca3848f668a198856c02241ce2d8fc2559b,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/applications_of_index.html,53,6.0,53.0,question_div,1064,True,True,False,False,False,False,True,0,19137,algebra,True,True
approximate_number,True,fff11b15cecd936f9e228ba87d63d157d1559101f66a1fcbdfa0c511f636fab4,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/approximate_number.html,192,5.0,192.0,question_div,1057,False,True,True,True,False,False,True,0,3345,arithmetic,True,True
arc_length_and_circular_sector_area,False,,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arc_length_and_circular_sector_area.html,0,,,,0,False,False,False,False,,False,False,0,697,geometry,True,False
area_1,True,bc987e3d839abfde1ca8815ac927a0ea1d64678df2aa66e096ee2c7134a5a59e,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_1.html,258,4.0,258.0,question_div,2375,True,True,True,True,False,False,True,0,84242,geometry,True,True
area_of_a_circle,True,d210a4148b56651a9fa0e9bb2e743e5fed0523a03ed205a8979bf7f6592a69bf,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_a_circle.html,46,5.0,46.0,question_div,1824,True,True,True,True,False,False,True,0,34968,geometry,True,True
area_of_a_circle2,True,1b00ea2b8cbc9ab884405914f3ae38c323a8a73120415bc0fcab524103b80958,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_a_circle2.html,60,6.0,60.0,question_div,1896,True,True,True,True,False,False,True,0,8135,geometry,True,True
area_of_fans,True,a8d512e9003f6d49d331b79c2d35bc897585035eb1d3abf195c924a0248b49c8,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_fans.html,690,7.0,690.0,question_div,8838,True,True,True,True,False,False,True,0,778,geometry,True,True
area_of_parallelograms,True,b3471dc64544c4af732e2a320a143f3969dd5fae61fddfd3e38676852804081a,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_parallelograms.html,10,8.0,10.0,question_div,464,True,True,True,True,False,False,True,0,125272,geometry,True,True
area_of_squares_and_rectangles,True,3d64298d4b4677cfb4624ada84d937ff21fb20fd8dfaaf579a0dd0ffe9bde065,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_squares_and_rectangles.html,68,10.0,68.0,question_div,2428,True,True,True,True,False,False,True,0,45428,geometry,True,True
area_of_triangles_1,True,8b0f18867929ca1bdfc9999944ef0a64bb3ab114f4f35862f87f907ca2f35fee,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_triangles_1.html,398,8.0,398.0,question_div,3939,True,True,True,True,False,False,True,0,57218,geometry,True,True
area_of_triangular_shapes,True,d5f76d723e233c40cf1e1cadd87ae2fb38c216dc5c64ff6b5671676d15e36476,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_of_triangular_shapes.html,598,7.0,598.0,question_div,6793,True,True,True,True,False,False,True,0,1991,geometry,True,True
area_relationship_larger_narrow_graph,True,631841d430f2ee7b088e47823a60f069e73b26d91d96dc9f89b3b2125dbe480d,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_relationship_larger_narrow_graph.html,627,12.0,627.0,question_div,2854,True,True,True,True,False,False,True,0,4049,geometry,True,True
area_relationship_larger_narrow_num,True,c370ba8435770b53d7b3b0f67f8c205e5152e6213ea53c57738e1c97b7e58e32,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_relationship_larger_narrow_num.html,153,12.0,153.0,question_div,991,True,True,True,True,False,False,True,0,3003,geometry,True,True
area_unit_cm_square,True,b794784d64659840ab50e9a78a3f180c1e57de003a9a5d492e590bcaae7ce935,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/area_unit_cm_square.html,250,30.0,250.0,question_div,20118,True,True,True,True,False,False,True,0,7085,geometry,True,True
areas_of_circles_and_sectors,True,dc3fcd2b4a99818596a7d6b188b03cdc8ce9aeae2457a8dc3738d96cbd794aad,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/areas_of_circles_and_sectors.html,860,7.0,860.0,question_div,1948,True,True,True,True,False,False,True,0,7850,geometry,True,True
areas_of_kites,True,6ee7d52a6b8c86f1a4e911f2ae77b674a065db8db05d706250f96d627bbfba73,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/areas_of_kites.html,9,5.0,9.0,question_div,3104,True,True,True,True,False,False,True,0,40553,geometry,True,True
areas_of_rhombi,True,a6a0d2b788ac83381b40e76e4c44882d7a671a85830075f8c7cb71118fa4b9a3,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/areas_of_rhombi.html,9,5.0,9.0,question_div,3089,True,True,True,True,False,False,True,0,28314,geometry,True,True
areas_of_trapezoids,True,dc33ac96f533c5fcd349d964b120699baa4088abaab6052f80d7db8f36fa2098,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/areas_of_trapezoids.html,9,5.0,9.0,question_div,3501,True,True,True,True,False,False,True,0,68127,geometry,True,True
areas_of_trapezoids_rhombi_and_kites,True,aa78a5430ff9597e32e5479ace5db11517adad43d76b4e407d5b87bcb7194cf6,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/areas_of_trapezoids_rhombi_and_kites.html,9,11.0,9.0,question_div,4793,True,True,True,True,False,False,True,0,9574,geometry,True,True
arithmetic_means,True,40a1ef7af1c103379abfa959745bc0ee6720f1aa3f5b3cc8a582a29d8166986d,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_means.html,22,4.0,22.0,question_div,2727,True,True,True,True,False,False,True,0,1028,arithmetic,True,True
arithmetic_reasoning,True,e2912afcf754dead907e4895149750509b6d5d08bed03e12c59ab7cfb81e6c30,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_reasoning.html,49,4.0,49.0,question_div,6843,True,True,True,True,False,False,True,0,6801,arithmetic,True,True
arithmetic_sequences_3,True,bc329eb8960e3eaeff32fcb87c6a2c4571d63a2e6fbf655e10863d2d5d8fb91c,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_sequences_3.html,34,8.0,34.0,question_div,1509,False,True,True,True,False,False,True,0,4237,arithmetic,True,True
arithmetic_series,True,7bb4759b9247c4d76e2a5a4c5caf11b31c3f476e3941d6e676663839b9313f56,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_series.html,687,7.0,687.0,question_div,6031,True,True,True,True,False,False,True,0,510,arithmetic,True,True
arithmetic_series_1,True,5f6f4b41078efc3b7fe3567460a01312ca3a300d65286c37563a7b50235e76ec,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_series_1.html,38,8.0,38.0,question_div,919,True,True,True,True,False,False,True,0,2644,arithmetic,True,True
arithmetic_word_problems,True,854647366f91e3aeef15f32b40ddb59a5eff375b765ebcf0dacfcec10d226136,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_word_problems.html,193,7.0,193.0,question_div,2194,True,True,False,False,False,False,True,0,69058,arithmetic,True,True
arithmetic_word_problems_1,True,30cdc9dcd33bd0c71071850629e1595e00a8bfda38666c0a6cc276042def2169,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_word_problems_1.html,24,9.0,24.0,question_div,3191,False,True,False,False,False,False,True,0,373888,arithmetic,True,True
arithmetic_word_problems_2,True,5b6e0b83a8ad750ec8a8c954908cb3e9f6fcf06e97efc89907743fac881a1a06,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/arithmetic_word_problems_2.html,37,6.0,37.0,question_div,4026,True,True,False,False,False,False,True,0,121426,arithmetic,True,True
average_word_problems,True,1197bf452b7c68b60a3833c4504194071bae392ac06b45144a7571f1c0ca2f8b,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/average_word_problems.html,116,21.0,116.0,question_div,1345,True,True,False,False,False,False,True,0,4410,probability-statistics,True,True
axis_of_symmetry,True,2ce716b1cda1e003564dd4a32ea6dab7c2ba0bf8648480d3026eee521ad0a82a,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/axis_of_symmetry.html,255,3.0,255.0,question_div,788,False,True,True,True,False,True,True,0,166488,geometry,True,True
baseline_compareline,True,172cb71ff1a707e1be35b35e06a13636099454f17f1172bbbe573ab0d1276d1e,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/baseline_compareline.html,119,7.0,119.0,question_div,2395,True,True,True,True,False,False,True,0,430,arithmetic,True,True
baseline_compareline_application,True,ddba8472e286e78a3683c24ce9aa67bb7809369fd7cb38b0a4da9ebedbc63eeb,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/baseline_compareline_application.html,164,10.0,164.0,question_div,1634,True,True,True,True,False,False,True,0,260,arithmetic,True,True
basic_compared_with_the_reference_quantity,True,698e108d19b295d91f40984756b68cc5dc86449f3de8ff7dfe328a13456cfe72,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/basic_compared_with_the_reference_quantity.html,81,11.0,81.0,question_div,6562,True,True,True,True,False,False,True,0,208,arithmetic,True,True
basic_concept_of_circumcenter,True,1c550895b5afbacb2cd3d19917f33e2cb7edd5ee1f815552f66088a90a51e64f,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/basic_concept_of_circumcenter.html,561,7.0,561.0,question_div,4665,True,True,True,True,False,False,True,0,3356,geometry,True,True
basic_concept_of_congruent_triangles,True,96d04bf25f8b6baa54bb658007fb4ffeca3bd4ecabfc5c01c8e925431301669f,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/basic_concept_of_congruent_triangles.html,695,10.0,695.0,question_div,2173,True,True,True,True,False,False,True,0,4782,geometry,True,True
basic_concept_of_similar_shapes,True,c1855ba20459d913920e2722936f305f95c5849c007d5bd43d8f19f9b16a69b8,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/basic_concept_of_similar_shapes.html,837,8.0,837.0,question_div,17260,True,True,True,True,False,False,True,0,1764,geometry,True,True
basic_concepts_of_probability_1,True,885f9e83cc51c39b6b269cdd9540ee06f6da4ba0a0ff60496ba78ed56ca2f470,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/basic_concepts_of_probability_1.html,29,8.0,29.0,question_div,2823,True,True,True,True,False,False,True,0,1495,probability-statistics,True,True
