dataset,model,item_id_hash,scalar_difficulty,score_band,valid_visible_content,no_invented_outcomes,no_answer_leakage,no_unavailable_reconstruction,rationale_consistent,no_systematic_default,spot_check_pass
xes3g5m,gpt-4o-mini,d7cf5841ae56ee1006eabd93e4f7425b2018f371ded5db242744a52a6479b43e,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,aa4ee9efb0f095d1c079e5facf3a3ab8c0e391f67b820515c1119feefffe39f7,0.7,high,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,69901ba734e72294eca87b9d5e9db66ed763cfb130dddcdf8ed9ee53f5d558aa,0.7,high,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,730bd60a84ad0cc0f68f7bad38c8f924d766930980ed6c824f1372d884b7391e,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,d4e06a4d42a93438b3a3542fa8431d265fad0264c60fd56c596efb1f89b7f432,0.7,high,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,e94f05fe9a66af0759e7b9926abb9788832b1b2cf5545ca25b1bfa6ac7aebd00,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,399f31bb77626b4f9ddf33e8838c9a493eb27653ce3062925ca7814fb4bd02ea,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,371c91f2fec3c849f989c5c664f52e4d9b9147c680dc302d2be701d0a6e28ff4,0.22,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,0b9ef8cfe8f002956c0f48f793963d06a6dc6eb99d072821eb5d00693b4cd6f2,0.1,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,f1d295f2822c6814f20d30fafd2fad2f8ab17838376c25dbd4bfac1aee2a4aa2,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,66c831cbd4586c36efa1b6213fa8bae301952d7f1113c81d2a84723b96035154,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,c1a0fc3d443376818fd1ff3099f4263f13617fe7ee7c92477a4daed1710536b2,0.32,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,feda5906d53e31d887fc15cfa36c21f3367f1f4cc44a464502fbbb7df99b18c9,0.56,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,b0a698d5b672a0ac8de3a1a38aef3c1dd9f26eb041bb4a6cd02fc6cc9a0ada65,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,170dabb0264c4e632ab77b822b9001a279d81846071909872bdcca3b52304936,0.42,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,b45b8a48547670cb9979401b8e9f535bc116a2016cad82dfbda0876720d89709,0.1,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,ad6358fae54876b306405a42456b19d958e60a463bf149e3d63e06e083ced9b0,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,ccfdbd7a86e0cde7202974f97823cf8f2601abaaac95b2e512bc2590d3650869,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,f602900773d36f0772d3e6826e30868d19c066b846d31084eaa8b2c6b7a982de,0.42,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,574bae2b5dfab299169bff20485b10e2f7f0a21f339be9bbd4447814030e0fdc,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,f6f37d77a1fefa4da4091b04a8e24effe15ce3b5c009512fcb9a47621aa5f25c,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,63949bebc52cd063e6771e799e791ea5e2e986c73cc6ee9ed050d52dee05b34f,0.32,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,1d5a8ddd8fdc9f5a66e15dd8da07b0576d043def41aadb54f72c482974657220,0.2,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,03a86d062be76af46717a2584b2a9fd8fb1b3e6e371980c7fac18556ec7e5b96,0.05,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,0f1911c8203ee27b98691c6fdac6676f594d88a3ff1b39018f42fe3eb9ba0eca,0.1,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,084452b6012cfcfbee8ec7ec721b2f1ed0ee216634717eb860b6255fa3f785ad,0.56,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,4bc1bf7f1fa9e3a7350ec2fc32074d4cd1be0cedeb91e323caee9e9d3c2e1d58,0.28,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,d9ce42ce1d183542c48b5b8c50f5882a6948517a30504873733a02e9e5eadde9,0.2,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,edd27499c76cb3f7349251254ac77663d6cec3d7aafe62fc34c7d8bb0cb1ae2f,0.32,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,7b7a1465a2a8da2ee0df221d0a34e16e20ed0b7aac2187f4b6332ba5e194227e,0.62,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,d7cf5841ae56ee1006eabd93e4f7425b2018f371ded5db242744a52a6479b43e,0.28,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,aa4ee9efb0f095d1c079e5facf3a3ab8c0e391f67b820515c1119feefffe39f7,0.34,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,69901ba734e72294eca87b9d5e9db66ed763cfb130dddcdf8ed9ee53f5d558aa,0.42,mid,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,730bd60a84ad0cc0f68f7bad38c8f924d766930980ed6c824f1372d884b7391e,0.1,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,d4e06a4d42a93438b3a3542fa8431d265fad0264c60fd56c596efb1f89b7f432,0.18,low,True,True,True,True,True,True,True
xes3g5m,gpt-5.4,e94f05fe9a66af0759e7b9926abb9788832b1b2cf5545ca25b1bfa6ac7aebd00,0.2,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,4f5def24ebb14878cc0cf2df61cd7901770e5a739dcd923c76d69824b1a36312,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,0195a73c8f53f8576b1cb6efa7721aebea3aad0d4c0ba69b9db28272d9a02229,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,efd218bd011182bd789bbbbdb9b67f864f4def9b0b0de8156250131ed2eaf6ec,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,552178242e404ad03263af62c55742ad2470653482f3f8155edb0e9aec3764e0,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,938d51b968c5095848b0d033c816a51bc109b31408eb44bb9c4d9f9104533152,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,37c167957663405a7d4c1adcd6003f79d172e8dc8784670a69649610a324c107,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a15bf45fda79ac7a026886cc0168393e99fdadc1f3de48dcdafe6b0b809a1c05,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,170a12b2043f4fab81fc6937e7332d013d691bd0d69b9e821a37ef8479e58dbd,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a32444bdc47ea1c7e71e3cd2424c05363616f94043ebf2695c1cf50baa5c39b5,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,c734b5af3ef52920c203d6146b669dc165d94a14413e5c4a2e5152dec2f1b52c,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,0e61254251ffe3e347dde0ab41797aaa10c3509b746d4867fec5c6424210fdfb,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,b1608564ae6e66db02be86463cdddf29f209e80175cab577b971c2634fe5f942,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ece79205de29c07678065676c85a59880a875a16176e86cb3ae0d4d62fa6f305,0.9,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,28a8595de182e5e6c3dad15db349404523092fd17179e7a698310da0daf8d1c0,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,9ff5e068cc6ff789401cdf678f6e733b4affb902c0c3982a7bff114f085e5b00,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,415854dd2bf159a1b744d3b86a5c42b8dfc13ef2f8d7587e4f0d5842483e965e,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,3d52302ad68974307dac71d13b153c6dc71e3a0f8055e344f596d56bf22a1828,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,34451d91b7d33921e3897ef758baccb9e8c92549de7406f3f00f2c8fdd7bb932,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,fbced80373b7bb2efb31f861df342a8cc2acf88d60b7736b5bc1de64940b7b7e,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,bfd5041c414623235920da44d6ddeae74d23948ec8d44c4d025d32d50e4f494f,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,cb2ff1579a429009950a5173e7417fb408dc4b5c534404906af43df199b20767,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,7add8c0b32544fcba7eb2ef842fdca655b18628577fbeae074c2cf13d799e67c,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,1f614b76aaa7ae4ff20233f8de2a3a41b19baaedc4c0970b413379954de27d1a,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,037c01718365adcfd20d8ec25df91f37608b8400090a06408854cc3f2d44ad12,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ec3d545f4628fee899ebcd63f20e6c5bf910ac7e6a3deadd3bdcefce8ba20b0f,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ddbb5b408b19ef2967ccd624bde08a9f717a58a4e98b2b4dbac16623e9967f25,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,328e41b618ed1026805a273cb41671c5024b3eb23d602acbab1110c908c1149f,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a5f33c7f0c8f42e5286b63097b2082ba5e6d2e9da11e5d4b194f7ddce959f658,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,87a0f04d67f3bf903f97bea6b86fb9728b6efc7929957b6672abaac0ca000aa5,1.0,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ca5a14e18a69775cede2b1e33cc72e79a92e212548b1537bf21349eb27fafe90,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,29a46a0d0a224f54a02b223d698c6de7708309fe9eb7cc50f0a741c3584d6ef3,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,026ab88863cc769495504a6a92f73162e162ad4cecbf63a6ee69bae507e30465,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,61c859365182ff68e46ac7efb1570afa4c4013247fbc572303433378cdfe8d86,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,8901a212961e26b49fbb44265f7c57d87000cd9b63276c682433385a7d7239b4,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,52f348270005d0d30593b715eca75a529f1613a796a12c8e142d074e6a3ea51a,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,2ecfc9389e1f91bf282392cda1e1638e2dc60430f4b5be351d939613bc1e99d2,0.2,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,99525e1cd823a93bb26e01c160af9672f2ac2979bba0a7af22ba618ed357f57c,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,d9d0028e89dd64de320860e422bd5fb0939716e5096b9532c06f683f2215ef97,0.2,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,176033fe3d935c13953dda631eacb7670a1e1bbdb945ad181028bc5b1269c1ae,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,6d3735f6775671017f9ac8874a0dd55badfe5f0d3931e8878855b2edb83edeaa,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,f25d011b09472a3da58a0cba451b8a4388ad2eb14e224d196e5c29fcc02b57dd,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a46a1cdf053f41b1fc503b4657ae35113b2b1dfb5e5382518d5883cd2b217a9d,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,cd368384d6c17170258eb9113fb815dc61e89959e8285b964987fe08eed3c0e7,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,15e919e9b4709f93cffcaa0764b7bd65aa37d17fbb98042670fb838b4f5c4b38,0.9,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,d14a670931a84e938045327474b5c679ed6714a8a42c87fea6bf0817869c6ebc,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,5c9de70f3c8adb010eb2cb1a2a1c0d0d7a4abcc4c383566128f2ee06ade15f23,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a3d480ea10cc0d7e8432b2ff15cbefae4a7e3b8ac8a657ae31fe6e728fb2c623,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,b4359d172764e9b4146e42312690df55900dcc943eb663611aebc474324addd0,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,e62d35dca0aefe4dd7bf191e618bcc642f6fb69de435af05898ea6af3aeb977e,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,4fe018d36533ddf5eb965dd5c71dd9e0946dd5f3384faa9c3980d884a20d5d48,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,fb387c415cd1a87779f462b94e1dc16590bf6886d43144a134339c0bacd057b9,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,73611fbdd033e28ec537c134e14906b1f8bd149df7ddb8a7c8eb4b7458084909,0.2,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,f8ec2095180435e247515e8744ce3d681b5416b2340646a21894bce4cf9d2c05,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,c0d5193e5d30df85cca7094b2a8dd6096116de32ce8effbac2c795c8fad06d8c,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,e5001b7efb5f835bb4cef4747cffca508a05169e6edf2a228aaf954ae6dc90ff,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,853baf34dc737b34dbed76ba2ce614cb6cfeaf7c860f3d27729ec8dbef42fba5,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,9e59ed7de4bb19b491c8d0d74f85768ed9b788fe2a037c5e41b81b11eb664345,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,00934e4492680247c5d4b3abadae7f473df31b935da54ea2685052381730b8de,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,4071ca6d02e8379476bb6851996cb33bf9be28cb5aa8b5c9b3fa8d1702566333,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,5444708d2b37698be198af7abcce63b4192efcb62da3ac136fe8c7bdd1416a74,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,f9e19c795f24a0399eee10ff075dcfaa8167b18602bd35a7184ce97a0437bb71,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a777cc9ee5ee645ddc0e070427050a601f80ae2ae2b8b2031923cc831dd94a77,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,0ebe0b1b0a6325aed5b2183a08eb21d3b35c06fcfa31bacab579550fd0190c0d,0.2,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,12c510063e1e26cab6ee308ca01b2b0bf46d16ae4ac40317440051414945d50f,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,b4117f91b1f79c5279a43edfd6ffe537b98f9a107364092d3cc6384914498a88,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,1a8ec426d1060a8798939db5e4a9c1ace4ed3f1e059fb890ba579a3d856ac28b,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,bd1045bb1e1dafc884104902d57b1c2f8d5fb6d2faf4b619719f887bd852421b,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a8122fbb9b15cb68445960d5f1cef04c322f6826e3f38ef31f25d5e68edab832,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a724860cc3c5173cefc9264ada6a32781065fc9903f9946452eebb8754e06b00,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,9f5ac37e93344888f31695df105d48e815935adf7a2a3b67c98af13e9f902738,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,cd87db120613cec93274232e00ca5df0da10013402521092d021b1dee02258ed,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,9edde63f6c85929f017a6471bd153304dcc4257cb5046b389f2a7fa90c5251f3,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,6502fb716430c83a018328755826a1b7267147ed688deb246918390b48c490bd,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,f68e9197a032598b8fc91c55a447e2fbd874677820f3cd61db342d6b459b9984,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,4fa9a34bd5ba60a39ddd61c5f9993f04a5387080821a33cf4686f96f6b1761cb,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,4fc7dbffc6b0f7552ab9652a8b0018d1a1425f0c675b38f25f540269a5f26b0c,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,9c658d5a2f4f0610f8ea41af9615d2b2c6f10995ca781c8cda9bea3f2bc9ffc3,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,3b4c0635717663f920f32f296350c2718d3f7f77a88984019db6fb6df884c05e,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,305119a391240e5ca1fab31d4dcd3c8973a5b1f536cf7a9d91a4ced57c283340,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,195ff6b9f1ec7d0b7eacc3a3e50a0701c380208031fb818b1316a868f0e18de5,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,13f972a78df331a698bcddaee9ac37c47deb6206e9f449a914253e81c97279e1,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,68972f4a298649fa6afa1cd2242242ba8b395a8f6aa5da7e897810abe093c6b2,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,5b3174e164dbe4c1a10ed13c52123ebfbc360aef43fc342d078093dcbe3b6efb,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,d69409aacc84d004786c97931a40051cc2b4dc382e4116a1b9cb63afd747182f,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ee1d52c8ef2315c4a690da057f61a9e37d544d253ca61788c0f356fbae546a10,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,0c630ce78a8842fa6554a0db8a00377916cfccc3c850f8172b5603f384f3b1e7,0.1,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ae9ffb42e2532baaaded257e361f3116668235a513c053a430bc140046698269,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,552a64554d95a726e00e2db6308cfd962aa9b729d4a9cffe7bf1df316c8534fe,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,0392962d4fb8107db99dc692a61670defc22d0cc09f199ba0233dcfaeaf364c2,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,5ef584c115a5a566e4bbacff1724ad7576a07265e2ffdf2234572036a1accf05,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,0845dc8320f9598bc31aa5ceafb846efb6ef73349f4a21b6988fffb7e0ea3b88,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,c3dbd71e4ad39b3201c22aa75b4ce0a2f2e896c066bb5834bf79254475017134,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,719b3341715022757605a4c8f9f6fbcbec48061c32ee797ba01e25216fe55a40,1.0,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,6b0f2080eb06955c9f1a29165ba4c21543e4d938796ea0e3ed8966b622f8414f,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,aadfaab768162ed5eb6dab1300a56f796f7b376ca1fb44760cdc49193a5227c7,0.1,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,dd9f25bc7274ee57d3b91dccf7581fbac96761a8d58584f4754dd112c9998cb2,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,4d056fa4fc41aa31ef0a98003a0ec6f1325fb2e49583a200bb19c9f3f1e91399,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,1099c6b73e6954835e1e02eec0da2ae0c1ddb4191e3cc416d3e958c346d7e40b,0.2,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,ef0ec51ede95725a604601ebf93416a35f266cff38d5c7ca94140fb6449220f5,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,50b1e1293c70c155d46acbd93964f8c82bc5054df746564a6414546320ebfb12,0.4,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,c8e7f71e2263632462fb0fc5117f181f7480a306ed6850000bd0c233e8017f57,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,12ab671f49c504af589532f7ebdb1b171fe35e35fef558ecabb3d1f154a7fb2a,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a19f7023197e58776b83d57a92926c52a661e42da6add2ae31f113b751143fc1,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,5edd6ef0bcede490f96f072ea8eaeafd0e9132ae7f463aca19f507a67ede5d48,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a7e0ea73032c97625a0471478845c6b3abf5709aed84d771788e355eb8faba9b,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,1f1e8826dd650dd66cd3c25811c073f50f0ee2e34136b04aa483cce9e940c7d6,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,01ab6dee201738b80d02b339791ecbc54a8ec3292d264eab0fb266e44f492899,0.9,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,90f9da735b90075db10efecfe7f374d0b6c36fb2ffebe253599df665be23f23b,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,cd3b4fdd4e7cfae573b470f9ca5dcfddc148fa90534dbdb763e9d3314c2ad814,0.7,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,009e148a9f47b2742719383ef9a0748cc4ed7790e3938fe0d01087e2c5b20086,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,c237a6c7f131c69c0204a8eaaac868d782dba3eb7032ff285bf1077afa008583,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,a682f7c973e0e9a48547664fa92b034f80a84f7d98e325ad537038fedb828fd6,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,1b31f59b80c8a6867d3123151a4b96422cc0e73b4ac05d1bc0c37177159e97ea,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,34e78f30a063642018bebf493188367ff5da6532f257b4323085650463740247,0.6,mid,True,True,True,True,True,True,True
junyi,gpt-4o-mini,51284fac75626d3ebcd0f9a38e2e9d1d134d9354b5dd11082ce5d3dc9385b868,0.3,low,True,True,True,True,True,True,True
junyi,gpt-4o-mini,b468d9610bb391ae7957b3f375544bd1c478e8fd910468cf81b5df0271fbef20,0.8,high,True,True,True,True,True,True,True
junyi,gpt-4o-mini,9060593a7d878e60022e4d43887a8619b28a2f83d1af21446413b2d094f7d8af,0.7,high,True,True,True,True,True,True,True
